[builder.pyw:394] - 2023-07-06 01:14:08,898 - INFO - Changed filetype: cxfreeze
[builder.pyw:394] - 2023-07-06 01:14:08,898 - INFO - Changed filetype: cxfreeze
[builder.pyw:394] - 2023-07-06 01:14:08,898 - INFO - Changed filetype: cxfreeze
[builder.pyw:445] - 2023-07-06 01:14:08,899 - INFO - Successfully changed config
[builder.pyw:517] - 2023-07-06 01:14:19,724 - INFO - Successfully compiled empyrean grabber.exe with cxfreeze
[builder.pyw:425] - 2023-07-06 01:15:23,610 - INFO - Retrieved filename: empyrean  grabber
[builder.pyw:394] - 2023-07-06 01:15:23,610 - INFO - Changed filetype: cxfreeze
[builder.pyw:394] - 2023-07-06 01:15:23,610 - INFO - Changed filetype: cxfreeze
[builder.pyw:394] - 2023-07-06 01:15:23,610 - INFO - Changed filetype: cxfreeze
[builder.pyw:445] - 2023-07-06 01:15:23,611 - INFO - Successfully changed config
[builder.pyw:517] - 2023-07-06 01:15:34,441 - INFO - Successfully compiled empyrean  grabber.exe with cxfreeze
